카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
출산유아동_기타,모래놀이 세트 + 먼치킨 컵쌓기,"7,000",SALE,본인인증 회원,False,True,Lisian0,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993849,1107993849
출산유아동_기타,LIND DNA 린드디앤에이 곰돌이 식탁매트,"33,000",SALE,본인인증 회원,False,True,미도리마미,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993845,1107993845
출산유아동_기타,"콩순이 알록달록 카페놀이, 아이스크림, 인형, 의사놀이, 유아장난감","15,000",ESCROW,인증+안전거래 회원,True,True,시타여신,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993302,1107993302
출산유아동_기타,포켓몬카드 릴리에의삐삐EX 10등급,"150,000",SALE,본인인증 회원,False,True,코골지마다들려,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993107,1107993107
출산유아동_기타,새상품 젤리캣 바르톨로뮤 베어 미디움 브라운,"80,000",SALE,중고나라 회원,False,True,goqvl,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992134,1107992134
출산유아동_기타,(새상품)임신테스트기 임테기 12개 일괄(원포+센스데이얼리+센스데이체크),"12,000",SALE,중고나라 회원,False,True,와구와구,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991891,1107991891
출산유아동_기타,킨즈험비 4인용 웨건,"350,000",ESCROW,인증+안전거래 회원,True,True,빈대뗙,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991833,1107991833
출산유아동_기타,폴로원피스 6x,"10,000",ESCROW,본인인증 회원,True,True,모비딕5,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991692,1107991692
출산유아동_기타,빅토리아앤프렌즈 유아 모자 썬햇 m(4~7세) 새상품,"7,000",SALE,중고나라 회원,False,True,cherry11,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991353,1107991353
출산유아동_기타,몬테소리 국어/역사,"2,000",SALE,중고나라 회원,False,True,꼼꼼이에요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991058,1107991058
출산유아동_기타,크록스 키즈 유아 C10 새상품,"28,000",SALE,중고나라 회원,False,True,cherry11,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990901,1107990901
출산유아동_기타,리미떼두두 별 퍼 가방(새제품),"10,000",SALE,중고나라 회원,False,True,까칠한토리맘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990847,1107990847
출산유아동_기타,초등-성인 가능 키플링 크로스백 작은가방 아이가방 덤드려요~,"2,000",SALE,중고나라 회원,False,True,bsmomm,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990648,1107990648
출산유아동_기타,(반값택포)초이락 차징탑스피너 배틀스타디움 +차징슈터 2개+라이그리스1개+블룸페가수스1개+로탄2개,"40,000",SALE,본인인증 회원,False,True,omoongchio,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990599,1107990599
출산유아동_기타,플레이도우112g*24개+도구(2.2만/반택포/인천계양/미개봉),"22,000",ESCROW,본인인증 회원,True,True,은냥냥,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990136,1107990136
출산유아동_기타,베이비브라짜 자동분유제조기,"40,000",SALE,본인인증 회원,False,True,세라비007,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989898,1107989898
출산유아동_기타,갤럭시포스 일괄,"120,000",ESCROW,본인인증 회원,True,True,시나몬,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989411,1107989411
출산유아동_기타,느낌표 수학동화 34권,"10,000",ESCROW,인증+안전거래 회원,True,True,안녕991,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989154,1107989154
출산유아동_기타,캉골 키즈지갑 판매합니다!,"30,000",SALE,중고나라 회원,False,True,eieiieie,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989077,1107989077
출산유아동_기타,파워레인저 애니멀포스 일괄팝니다,"2,000",ESCROW,본인인증 회원,True,True,찌이익새,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989002,1107989002
출산유아동_기타,페파피그 피규어,"30,000",ESCROW,인증+안전거래 회원,True,True,시타여신,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988963,1107988963
출산유아동_기타,140사이즈 레노마 여아 원피스,"4,000",ESCROW,인증+안전거래 회원,True,True,안녕991,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988717,1107988717
출산유아동_기타,120사이즈 여아 의류 세트,"10,000",ESCROW,인증+안전거래 회원,True,True,안녕991,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988619,1107988619
출산유아동_기타,포켓몬 과학 연구소 4권 세트,"15,000",SOLD_OUT,중고나라 회원,False,False,난이난이난이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988309,1107988309
출산유아동_기타,롯데리아 짱구비치타월,"7,000",SALE,중고나라 회원,False,True,좋아좋아1234,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988300,1107988300
출산유아동_기타,공룡책 공룡장난감,"15,000",SALE,중고나라 회원,False,True,샷82,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988244,1107988244
출산유아동_기타,다원 몬테소리 꼭지원기둥+정리대+색원기둥,"50,000",RESERVATION,본인인증 회원,False,True,행복이87,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988067,1107988067
출산유아동_기타,변덕쟁이고양이 식빵냥이,"25,000",SALE,중고나라 회원,False,True,럽쏭자매,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987524,1107987524
출산유아동_기타,리틀미미 시나모롤 카페,"33,000",SALE,중고나라 회원,False,True,럽쏭자매,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987394,1107987394
출산유아동_기타,비오베르제뛰르 튼살크림,"50,000",SALE,본인인증 회원,False,True,백만도리도리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985575,1107985575
출산유아동_기타,아토팜 튼살크림 2개,"20,000",SALE,본인인증 회원,False,True,백만도리도리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985557,1107985557
